"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2019","186.66","191.58","192.67","184.55","28.32K","-2.53%"
"Nov 06, 2019","191.51","189.44","195.20","188.36","37.91K","1.20%"
"Nov 05, 2019","189.24","186.87","192.51","182.76","48.14K","1.27%"
"Nov 04, 2019","186.87","182.19","190.03","180.92","47.67K","2.57%"
"Nov 03, 2019","182.19","183.89","185.45","179.31","21.00K","-0.94%"
"Nov 02, 2019","183.92","183.98","186.68","182.65","24.61K","-0.03%"
"Nov 01, 2019","183.98","183.01","185.40","177.73","25.34K","0.51%"
"Oct 31, 2019","183.04","183.68","185.70","178.34","30.14K","-0.42%"
"Oct 30, 2019","183.82","191.29","192.50","180.47","59.21K","-3.91%"
"Oct 29, 2019","191.29","182.08","193.55","181.78","56.33K","4.96%"
"Oct 28, 2019","182.25","184.72","190.55","181.28","38.27K","-1.26%"
"Oct 27, 2019","184.58","180.42","189.32","177.20","58.29K","2.31%"
"Oct 26, 2019","180.42","182.05","198.62","174.32","177.04K","-0.84%"
"Oct 25, 2019","181.95","160.95","188.00","160.95","115.68K","12.89%"
"Oct 24, 2019","161.18","162.95","164.36","158.90","99.86K","-1.10%"
"Oct 23, 2019","162.97","171.83","172.20","153.40","119.10K","-5.15%"
"Oct 22, 2019","171.82","175.02","176.31","171.14","38.76K","-1.83%"
"Oct 21, 2019","175.02","176.10","178.80","172.50","38.75K","-0.62%"
"Oct 20, 2019","176.11","172.59","177.51","170.03","29.88K","2.04%"
"Oct 19, 2019","172.59","173.67","175.75","170.55","33.00K","-0.60%"
"Oct 18, 2019","173.64","177.83","177.94","169.17","53.71K","-2.17%"
"Oct 17, 2019","177.49","175.01","179.56","173.25","29.64K","1.42%"
"Oct 16, 2019","175.00","181.12","181.75","172.62","57.62K","-3.33%"
"Oct 15, 2019","181.02","187.21","188.98","177.66","62.86K","-3.27%"
"Oct 14, 2019","187.14","181.57","187.88","181.00","41.42K","3.04%"
"Oct 13, 2019","181.61","180.16","184.97","179.10","25.39K","0.80%"
"Oct 12, 2019","180.16","181.09","185.10","178.01","36.20K","-0.49%"
"Oct 11, 2019","181.04","192.06","198.00","179.71","109.38K","-5.74%"
"Oct 10, 2019","192.06","193.59","194.95","188.05","37.16K","-0.75%"
"Oct 09, 2019","193.51","181.50","196.35","179.95","114.22K","6.49%"
"Oct 08, 2019","181.72","180.66","185.72","178.16","46.36K","0.59%"
"Oct 07, 2019","180.66","170.56","183.45","169.07","86.58K","5.95%"
"Oct 06, 2019","170.51","176.94","177.50","168.31","63.87K","-3.63%"
